old_id,new_id
tt0257001,tt0210234
tt0450280,tt0449565
tt0288081,tt0286751
tt0178861,tt0109314
tt0134017,tt0127722
tt0122198,tt0055262
tt0386575,tt0313726
tt0022447,tt0022180
tt0091619,tt0091618
tt0424304,tt0373842
tt0303549,tt0165598
tt0049178,tt0049177
tt0472497,tt0469222
tt0219728,tt0053888
tt0204292,tt0179140
tt0187390,tt0148583
tt0207047,tt0022302
tt0190484,tt0188527
tt0772209,tt0756727
tt0246828,tt0243907
tt0235472,tt0174856
tt0155148,tt0098467
tt0243482,tt0153812
tt0290524,tt0227980
tt0104396,tt0104365
tt0293275,tt0267693
tt0429286,tt0429277
tt0340652,tt0057993
tt0157247,tt0149441
tt0756601,tt0494188
tt0182655,tt0078513
tt0168077,tt0063049
tt0138871,tt0129387
tt0125546,tt0080000
tt0884321,tt0884224
tt0180507,tt0052538
tt0374071,tt0373175
tt0118144,tt0117583
tt0595625,tt0090328
tt0391479,tt0365737
tt0096347,tt0093158
tt0409705,tt0404777
tt0374320,tt0344510
tt0482021,tt0464184
tt0243377,tt0243376
tt0169743,tt0151301
tt0006497,tt0005077
tt0440089,tt0439878
tt0165277,tt0088512
tt0137238,tt0054131
tt0190262,tt0118703
tt0079939,tt0077328
tt0391576,tt0363307
tt0121827,tt0100747
tt0587876,tt0146793
tt0162398,tt0113410
tt0158887,tt0120900
tt0209410,tt0117883
tt0716881,tt0394937
tt0224186,tt0099925
tt0793131,tt0793130
tt0429748,tt0428144
tt0155913,tt0117177
tt0163955,tt0078037
tt0575495,tt0087059
tt0212917,tt0086428
tt0443777,tt0441674
tt0163556,tt0074210
tt0299380,tt0063951
tt0235230,tt0096866
tt0099792,tt0097524
tt0676174,tt0393602
tt0403424,tt0402901
tt0247804,tt0133152
tt0676157,tt0182332
tt0757999,tt0757996
tt0082560,tt0079115
tt0066244,tt0066105
tt0231008,tt0169528
tt0207491,tt0165798
tt0306027,tt0159933
tt0121059,tt0107713
tt0291547,tt0290329
tt0250536,tt0070746
tt0096260,tt0095414
tt0160142,tt0158653
tt0675269,tt0074988
tt0135085,tt0115763
tt0367457,tt0362389
tt0660826,tt0660824
tt0138509,tt0076518
tt0167157,tt0166943
tt0201490,tt0201378
tt0114653,tt0111464
tt0979731,tt0942764
tt0159212,tt0076975
tt0108125,tt0074384
tt0421660,tt0211933
tt0616593,tt0332663
tt0206257,tt0183808
tt0306023,tt0304746
tt0069964,tt0069057
tt0127392,tt0108906
tt0340817,tt0318403
tt0181704,tt0181703
tt0500104,tt0205451
tt0200666,tt0101956
tt0870910,tt0870090
tt0314869,tt0259733
tt0561181,tt0056441
tt0168006,tt0147906
tt0187349,tt0183280
tt0105011,tt0103987
tt0353990,tt0353104
tt0039104,tt0038250
tt0945542,tt0944834
tt0561295,tt0054994
tt0266699,tt0254686
tt0851760,tt0494730
tt0210961,tt0065581
tt0157205,tt0120882
tt0214291,tt0118111
tt0461640,tt0289016
tt0193081,tt0101660
tt0407774,tt0405061
tt0660856,tt0660824
tt0298034,tt0084237
tt0071100,tt0069665
tt0166208,tt0122471
tt0223005,tt0101597
tt0840792,tt0840322
tt0340612,tt0305669
tt0808488,tt0377309
tt0810033,tt0430814
tt0266860,tt0235679
tt0613329,tt0263477
tt0383735,tt0312081
tt0554587,tt0235326
tt0462053,tt0457510
tt0411890,tt0301687
tt0363018,tt0361856
tt0240375,tt0186932
tt0120206,tt0063643
tt0306390,tt0286486
tt0366989,tt0363140
tt0128085,tt0127471
tt0660857,tt0660797
tt0085358,tt0085356
tt0239649,tt0206113
tt0161937,tt0122050
tt0165191,tt0076485
tt0284692,tt0079807
tt0208482,tt0097178
tt0174962,tt0168085
tt0285038,tt0142235
tt0186553,tt0169528
tt0171736,tt0117615
tt0225609,tt0132938
tt0095723,tt0093744
tt0038351,tt0036868
tt0184474,tt0116308
tt0244847,tt0244479
tt0238185,tt0184673
tt0186196,tt0174708
tt0477448,tt0476293
tt0312639,tt0312528
tt0101949,tt0097429
tt0216465,tt0195471
tt0144203,tt0120026
tt0296987,tt0222719
tt0202382,tt0202381
tt0229219,tt0154152
tt0134948,tt0123221
tt0310332,tt0250962
tt0165503,tt0117801
tt0041717,tt0041255
tt0233060,tt0226771
tt0439056,tt0285335
tt0062188,tt0060897
tt0185189,tt0084987
tt0201530,tt0146403
tt0477867,tt0475723
tt0233094,tt0152015
tt0088381,tt0087544
tt0849425,tt0847154
tt0208335,tt0194800
tt0313039,tt0287196
tt0383993,tt0331952
tt0069032,tt0069031
tt0809620,tt0417686
tt0385449,tt0383790
tt0191268,tt0191074
tt0176379,tt0159193
tt0176370,tt0175680
tt0319477,tt0320022
tt0708471,tt0394904
tt0428082,tt0364782
tt0183916,tt0122194
tt0314042,tt0283143
tt0365600,tt0363249
tt0322245,tt0320643
tt0193860,tt0109647
tt0200923,tt0120658
tt0500197,tt0208140
tt0211462,tt0208911
tt0301352,tt0159145
tt0373484,tt0084987
tt0926124,tt0926123
tt0189972,tt0093840
tt0875139,tt0863136
tt0118101,tt0067658
tt0074223,tt0068444
tt0146949,tt0107286
tt0301910,tt0259017
tt0425671,tt0410970
tt0034605,tt0034416
tt0082157,tt0080717
tt0702754,tt0134967
tt0384312,tt0365478
tt0190834,tt0019658
tt0449663,tt0449662
tt0125010,tt0120753
tt0108955,tt0108316
tt0115695,tt0112519
tt0193320,tt0140379
tt0076364,tt0076175
tt0180689,tt0179804
tt0225272,tt0133932
tt0252849,tt0232062
tt0233501,tt0226919
tt0108288,tt0107212
tt0317721,tt0274428
tt0210211,tt0199920
tt0005528,tt0004134
tt0184027,tt0068994
tt0045849,tt0045655
tt0195792,tt0156610
tt0105906,tt0087400
tt0321236,tt0315788
tt0151604,tt0097661
tt0074357,tt0068566
tt0340958,tt0070640
tt0202028,tt0039927
tt0273808,tt0001527
tt0377289,tt0268860
tt0123986,tt0088563
tt0299879,tt0160275
tt0179816,tt0145046
tt0301353,tt0159145
tt0239737,tt0239450
tt0364034,tt0362761
tt0122223,tt0119298
tt0247234,tt0247082
tt0314621,tt0289438
tt0294149,tt0270792
tt0234038,tt0232632
tt0136379,tt0123975
tt0340665,tt0025477
tt0160668,tt0134847
tt0128222,tt0052829
tt0384507,tt0341564
tt0446568,tt0444759
tt0313487,tt0287635
tt0215002,tt0190590
tt0314766,tt0241251
tt0062152,tt0061496
tt0355160,tt0352375
tt0765814,tt0499593
tt0062243,tt0062082
tt0286834,tt0264935
tt0220173,tt0096453
tt0164275,tt0066702
tt0284953,tt0284837
tt0995846,tt0988083
tt0092986,tt0088830
tt0561123,tt0049473
tt0243582,tt0219457
tt0297111,tt0022867
tt0192775,tt0108526
tt0202285,tt0126810
tt0030408,tt0028603
tt0230373,tt0228463
tt0162151,tt0118581
tt0246709,tt0239496
tt0069454,tt0067395
tt0129519,tt0070066
tt0074493,tt0069979
tt0999893,tt0996948
tt0256349,tt0123195
tt0203342,tt0115693
tt0250490,tt0216870
tt0844001,tt0306892
tt0118102,tt0055608
tt0286404,tt0261495
tt0177768,tt0171689
tt0368349,tt0366721
tt0260841,tt0077932
tt0187123,tt0073694
tt0357675,tt0165789
tt0121939,tt0116723
tt0816154,tt0814124
tt0411031,tt0239195
tt0232522,tt0217758
tt0105056,tt0101625
tt0186239,tt0099850
tt0223119,tt0118939
tt0869616,tt0094987
tt0768334,tt0330093
tt0363940,tt0363510
tt0478557,tt0371552
tt0436270,tt0413845
tt0340898,tt0105108
tt0246299,tt0118694
tt0228970,tt0227963
tt0171842,tt0158011
tt0163806,tt0043224
tt0253768,tt0062808
tt0143820,tt0124899
tt0476442,tt0473435
tt0300843,tt0096686
tt0086544,tt0082278
tt0384578,tt0348172
tt0229706,tt0217031
tt0340928,tt0035233
tt0190247,tt0086713
tt0188753,tt0070768
tt0151684,tt0151683
tt0708885,tt0394911
tt0164434,tt0071784
tt0112999,tt0109760
tt0156401,tt0140825
